,avg_air_temp,avg_soil_temp,doy,net_rad,year,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_bnd1,wp_bnd2,wp_bnd3,wp_bnd7,wp_evi,wp_lswi,wp_ndvi,mb_bnd1,mb_bnd2,mb_bnd3,mb_bnd7,mb_evi,mb_lswi,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
45,21.1,20.6,240,152.0,2012,11129.505177,-255.460625044,136.253286881,-391.713911925,495.639501258,7027.90131558,11057.7015888,-89.708518336,359.445028952,-449.153547288,240.215832503,8103.68866441,0.06045,0.290325,0.0246625,0.0834125,0.391375,0.55351090462,0.6551875,0.03665625,0.18786875,0.018,0.03473125,0.29698125,0.687850054083,0.6735,28.995,15.2275,27.1475,17.79
46,23.0,21.0,241,150.0,2012,9992.63082087,-243.764671177,132.038895298,-375.803566475,-683.963753428,7412.60526383,19705.9313194,-68.6756152602,583.847070105,-652.522685365,-1612.65796159,13428.7670228,0.0606,0.2888,0.0248,0.0835,0.389,0.551437013161,0.6531,0.0369,0.1888,0.0183,0.0347,0.2983,0.689485458613,0.673,29.15,15.11,27.41,17.87
47,22.7,21.0,242,149.0,2012,9346.87580986,-249.158516794,134.99460995,-384.153126745,-724.679313272,7892.41020208,17112.6899642,-43.2017897672,427.723535464,-470.925325231,-1672.81531129,11234.2326229,0.06071875,0.289225,0.02493125,0.08390625,0.38948125,0.550296888636,0.6529625,0.037025,0.1884375,0.018775,0.03475,0.298075,0.688583692965,0.67151875,28.79,15.0925,27.035,17.72
48,22.0,21.3,243,146.0,2012,9572.03180593,-233.185382741,137.091361706,-370.276744447,-1069.42412335,7597.23543676,20504.5881053,-68.2696005625,553.023182032,-621.292782595,-1282.28383041,13643.997485,0.0608375,0.28965,0.0250625,0.0843125,0.3899625,0.54915676411,0.652825,0.03715,0.188075,0.01925,0.0348,0.29785,0.687681927316,0.6700375,28.43,15.075,26.66,17.57
49,16.1,21.0,244,145.0,2012,10612.263821,-256.328519496,147.273771015,-403.602290511,2040.12426544,4824.4060229,8089.14822829,-213.868177247,267.774856191,-481.643033438,2161.99511898,6733.68371826,0.06095625,0.290075,0.02519375,0.08471875,0.39044375,0.548016639584,0.6526875,0.037275,0.1877125,0.019725,0.03485,0.297625,0.686780161668,0.66855625,28.07,15.0575,26.285,17.42
50,17.2,20.5,245,145.0,2012,9671.7100433,-253.294634473,134.26416869,-387.558803164,1929.98850385,5108.76000726,13200.6082527,-237.696081599,335.885211114,-573.581292713,2403.73916316,7796.3797099,0.061075,0.2905,0.025325,0.085125,0.390925,0.546876515058,0.65255,0.0374,0.18735,0.0202,0.0349,0.2974,0.685878396019,0.667075,27.71,15.04,25.91,17.27
51,20.8,20.6,246,141.0,2012,7577.0436033,-226.675871989,118.916587896,-345.592459884,437.482455831,6381.95738082,17204.1854745,-67.5067813241,435.543677301,-503.050458625,-327.086929311,10217.6743941,0.06119375,0.290925,0.02545625,0.08553125,0.39140625,0.545736390532,0.6524125,0.037525,0.1869875,0.020675,0.03495,0.297175,0.684976630371,0.66559375,27.35,15.0225,25.535,17.12
52,21.7,20.7,247,139.0,2012,7176.99234241,-224.967029577,116.939727651,-341.906757228,24.4125221222,6840.28660875,14498.7477229,-67.5541325072,409.399857071,-476.953989578,-913.324772744,10348.1645617,0.0613125,0.29135,0.0255875,0.0859375,0.3918875,0.544596266006,0.652275,0.03765,0.186625,0.02115,0.035,0.29695,0.684074864722,0.6641125,26.99,15.005,25.16,16.97
53,21.5,20.8,248,136.0,2012,9957.32050734,-211.072831991,135.675098511,-346.747930502,-338.148736241,6765.46626538,16532.4606012,-85.8063706598,490.769323612,-576.575694272,262.85538737,10450.016871,0.06143125,0.291775,0.02571875,0.08634375,0.39236875,0.54345614148,0.6521375,0.037775,0.1862625,0.021625,0.03505,0.296725,0.683173099074,0.66263125,26.63,14.9875,24.785,16.82
54,19.3,20.7,249,105.0,2012,12068.7309642,-176.390220792,147.392800516,-323.783021308,-107.190043105,5171.31518809,17053.0855287,-143.370929631,462.495490873,-605.866420504,785.167038238,8430.15584332,0.06155,0.2922,0.02585,0.08675,0.39285,0.542316016954,0.652,0.0379,0.1859,0.0221,0.0351,0.2965,0.682271333425,0.66115,26.27,14.97,24.41,16.67
55,19.2,20.6,250,134.0,2012,12546.3920754,-205.680069036,154.723432204,-360.403501241,412.102587234,6025.54780369,14951.9632556,-217.429522877,435.21933344,-652.648856317,903.300208884,10029.6910447,0.06166875,0.292625,0.02598125,0.08715625,0.39333125,0.541175892428,0.6518625,0.038025,0.1855375,0.022575,0.03515,0.296275,0.681369567777,0.65966875,26.085,14.99,24.1525,16.64
56,19.9,20.5,251,132.0,2012,12174.7085717,-222.232238995,153.523677701,-375.755916696,248.979999093,6748.57334935,15376.6381369,-173.82684981,461.542466608,-635.369316418,866.842898185,10457.0370502,0.0617875,0.29305,0.0261125,0.0875625,0.3938125,0.540035767902,0.651725,0.03815,0.185175,0.02305,0.0352,0.29605,0.680467802129,0.6581875,25.9,15.01,23.895,16.61
57,20.1,20.5,252,130.0,2012,10547.2990434,-226.8755144,160.884021979,-387.759536379,-400.636466378,6719.46057978,16363.3849862,-92.5906234157,493.445459735,-586.036083151,152.692172464,10361.7692081,0.06190625,0.293475,0.02624375,0.08796875,0.39429375,0.538895643376,0.6515875,0.038275,0.1848125,0.023525,0.03525,0.295825,0.67956603648,0.65670625,25.715,15.03,23.6375,16.58
58,20.0,20.4,253,130.0,2012,9556.14649293,-211.439459893,152.972696866,-364.412156759,-430.695226235,6313.99101521,15742.4477406,-91.5297330931,497.541900125,-589.071633218,-1242.20089599,10967.1329967,0.062025,0.2939,0.026375,0.088375,0.394775,0.537755518851,0.65145,0.0384,0.18445,0.024,0.0353,0.2956,0.678664270832,0.655225,25.53,15.05,23.38,16.55
59,20.0,20.3,254,127.0,2012,10423.7318949,-218.447036028,133.808913369,-352.255949398,375.163823999,6056.49501609,14092.3554735,-65.0945454737,396.082748042,-461.177293516,-304.457984951,8090.95264636,0.06214375,0.294325,0.02650625,0.08878125,0.39525625,0.536615394325,0.6513125,0.038525,0.1840875,0.024475,0.03535,0.295375,0.677762505183,0.65374375,25.345,15.07,23.1225,16.52
60,20.9,20.4,255,125.0,2012,12695.5413984,-189.769359178,140.224750502,-329.99410968,-39.5439703857,6170.62861364,15848.7932713,-105.365415685,445.4481622,-550.813577884,-204.743683543,9276.45783691,0.0622625,0.29475,0.0266375,0.0891875,0.3957375,0.535475269799,0.651175,0.03865,0.183725,0.02495,0.0354,0.29515,0.676860739535,0.6522625,25.16,15.09,22.865,16.49
61,20.5,21.0,256,125.0,2012,12032.2994236,-199.587704543,143.379491986,-342.967196529,620.023225998,5505.75782663,17676.6188992,-138.705162427,467.544181519,-606.249343946,632.971772689,8865.96315498,0.06238125,0.295175,0.02676875,0.08959375,0.39621875,0.534335145273,0.6510375,0.038775,0.1833625,0.025425,0.03545,0.294925,0.675958973886,0.65078125,24.975,15.11,22.6075,16.46
